"İllerde yaşam endeksi gösterge değerleri, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indicator values of well-being index for provinces, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Konut
Housing",,,,"Çalışma hayatı
Hakkari,,"0,8","97,4","37,7",,"39,9","11,7","58,3","72,1",, 689,"23,8","61,9",,"16,1","77,3",5 764,"77,2","54,6",,"23,5","235,3","179,0","12,9","48,2",,"85,0","21,5","60,0","18,0","31,0",,"32,6","0,7","66,2","61,8",,"80,8","12,4","4,9",,"3,0","36,2","2,3","23,5",,"0,3","0,0","93,3","60,1",,"70,6"
Hatay,,"1,1","85,8","25,6",,"40,3","12,2","58,8","71,8",,4 695,"30,1","53,7",,"11,8","77,9",6 275,"70,1","70,9",,"41,0","292,2","200,3","12,2","64,9",,"61,5","38,2","97,7","19,3","55,5",,"34,9","2,4","62,3","79,3",,"89,1","19,2","5,0",,"7,4","88,0","253,5","51,0",,"42,8","74,4","86,3","48,5",,"50,3"
Isparta,,"1,5","94,6","9,5",,"49,5","8,7","54,5","90,9",,6 221,"28,1","33,5",,"9,4","78,7",3 847,"79,4","89,1",,"39,9","324,6","202,0","15,6","86,6",,"75,0","41,6","75,8","9,9","81,1",,"9,6","3,5","79,3","92,0",,"90,4","20,1","5,0",,"10,4","75,5","19,7","73,4",,"62,7","62,1","93,8","77,1",,"70,4"
Mersin,,"1,3","87,4","18,7",,"44,4","12,4","56,0","72,7",,5 218,"29,6","62,8",,"12,8","78,3",6 184,"67,1","74,7",,"45,3","297,4","201,8","14,5","72,4",,"52,0","51,2","96,8","26,6","69,0",,"28,9","3,1","52,1","82,1",,"89,3","18,3","5,0",,"10,1","90,0","468,4","61,4",,"62,8","100,1","84,5","50,6",,"52,8"
İstanbul,,"1,3","99,3","16,0",,"46,4","11,2","71,7","78,8",,18 131,"56,2","45,4",,"8,8","78,7",4 112,"72,6","67,4",,"27,5","298,2","202,0","17,6","61,6",,"54,8","44,0","99,9","33,8","80,7",,"22,5","1,1","45,1","68,5",,"89,3","24,2","7,9",,"17,6","100,0","9874,8","69,9",,"147,4","277,3","82,2","51,4",,"58,4"
İzmir,,"1,5","94,4","14,8",,"47,3","15,4","63,8","79,5",,10 346,"49,8","48,6",,"9,1","78,8",3 731,"71,2","72,6",,"35,4","303,9","202,5","17,7","65,9",,"41,0","39,9","99,0","27,0","62,7",,"21,4","2,6","60,1","76,5",,"90,3","19,5","7,2",,"16,5","96,5","3890,3","63,6",,"99,0","137,3","84,7","52,9",,"58,2"
Kars,,"1,0","56,2","38,1",,"55,5","6,6","57,8","77,3",,2 016,"28,0","66,6",,"12,1","77,7",4 111,"69,3","75,1",,"30,7","253,9","189,9","11,2","74,6",,"47,0","3,5","44,4","14,8","46,9",,"47,2","1,3","62,4","87,7",,"83,6","17,6","10,4",,"4,7","42,1","560,0","53,0",,"7,5","0,0","88,6","47,9",,"56,5"
Kastamonu,,"1,5","99,3","17,8",,"44,2","6,2","55,9","81,8",,3 555,"38,5","47,1",,"8,2","77,5",6 788,"72,4","83,1",,"36,2","314,3","195,0","11,7","86,1",,"34,0","68,1","56,2","8,4","88,3",,"46,1","2,4","73,2","92,8",,"89,5","20,2","7,2",,"8,9","54,8","60,1","62,2",,"43,9","27,2","93,3","48,3",,"60,0"
Kayseri,,"1,4","94,5","20,1",,"46,0","9,9","57,3","79,1",,5 045,"38,2","42,7",,"10,5","78,0",4 470,"72,6","77,0",,"27,7","305,7","205,8","14,7","69,6",,"75,0","6,4","99,7","21,7","75,7",,"25,7","2,9","61,7","84,2",,"90,5","26,0","7,7",,"10,1","96,5","2079,2","69,7",,"61,9","118,1","79,4","51,1",,"58,1"
Kırklareli,,"1,5","85,7","12,8",,"49,5","8,0","63,0","79,6",,6 600,"45,4","45,1",,"6,5","77,1",7 254,"74,0","76,2",,"43,9","310,9","199,9","14,0","75,8",,"37,3","40,1","79,7","11,1","78,3",,"37,8","2,3","71,7","85,1",,"91,0","19,6","7,8",,"13,4","78,3","0,0","71,9",,"49,6","20,1","90,6","58,2",,"53,2"
Kırşehir,,"1,5","90,0","15,3",,"43,1","7,3","59,4","83,1",,5 867,"37,5","47,1",,"6,8","78,2",7 006,"72,0","86,4",,"37,0","331,3","204,4","13,9","81,9",,"35,0","3,7","78,8","11,6","71,6",,"35,9","2,8","76,6","91,7",,"89,2","21,5","6,5",,"7,9","75,8","34,1","47,0",,"37,8","0,0","91,7","63,0",,"67,2"
Kocaeli,,"1,3","99,6","17,2",,"49,2","10,1","82,0","75,3",,5 489,"53,5","43,9",,"8,5","77,9",5 589,"73,3","70,5",,"36,1","309,1","200,9","15,7","66,5",,"55,8","43,1","100,0","24,4","68,8",,"21,5","2,1","49,0","74,3",,"91,1","24,9","13,2",,"12,6","99,0","1768,9","59,2",,"87,8","142,5","81,1","51,5",,"57,2"
Konya,,"1,4","92,1","11,8",,"46,2","4,7","54,7","84,8",,4 062,"37,3","45,3",,"10,4","78,1",4 623,"78,0","82,0",,"31,8","299,2","202,6","13,0","78,2",,"55,5","12,1","99,0","15,5","82,7",,"16,6","3,1","63,9","87,2",,"90,1","26,8","4,5",,"9,0","94,0","452,9","78,1",,"73,7","106,3","88,2","66,3",,"65,6"
Kütahya,,"1,4","97,8","14,2",,"49,3","6,0","60,3","88,0",,3 351,"38,6","34,5",,"10,5","76,9",6 572,"80,8","85,1",,"37,2","318,5","199,8","12,1","85,5",,"66,0","52,7","74,5","6,4","61,0",,"24,5","2,4","79,4","91,2",,"91,6","20,0","4,4",,"9,0","74,4","15,7","58,1",,"35,9","109,2","93,7","80,9",,"73,8"
Malatya,,"1,3","90,3","23,8",,"49,9","7,8","51,9","78,1",,3 430,"28,9","54,5",,"12,9","78,8",4 313,"71,1","77,8",,"34,0","309,4","203,9","15,5","69,1",,"43,0","15,3","98,0","16,4","65,6",,"24,7","1,9","68,0","86,2",,"87,0","21,1","7,2",,"6,9","87,0","171,6","62,7",,"63,8","83,8","87,0","52,4",,"53,9"
Manisa,,"1,4","78,7","15,8",,"52,7","5,1","63,0","77,3",,3 765,"28,4","44,6",,"9,4","77,4",5 619,"74,2","85,2",,"32,8","302,9","196,5","11,5","81,6",,"86,0","40,1","98,8","8,5","78,6",,"27,0","3,1","71,5","88,2",,"93,1","18,4","3,5",,"8,2","94,0","969,5","76,8",,"42,6","41,9","91,9","65,5",,"63,9"
